"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Bijdrage VvE","Soort appartement","Soort bouw","Bouwjaar","Soort dak","Wonen","Gebouwgebonden buitenruimte","Externe bergruimte","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Gelegen op","Voorzieningen","Voorlopig energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Eigendomssituatie","Ligging","Balkon/dakterras","Schuur/berging","Soort garage","Soort parkeergelegenheid","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Soort woonhuis","Overige inpandige ruimte","Perceel","Energielabel","Oppervlakte","Tuin","Achtertuin","Ligging tuin","Capaciteit"
"369","Vrijthof 29 C","2 februari 2020","9 december 2020","10 maanden","€ 495.000 kosten koper","€ 5.380","Verkocht","€ 322,00 per maand","Tussenverdieping (appartement)","Bestaande bouw","1650","Zadeldak","92 m²",NA,"4 m²","302 m³","6 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","4 woonlagen","2e woonlaag","Elektra","G Wat betekent dit?",NA,"Cv-ketel","Cv-ketel","Remeha (gas gestookt combiketel uit 1998, eigendom)","Volle eigendom","Beschutte ligging, in centrum en vrij uitzicht",NA,"Inpandig","Parkeerkelder","Betaald parkeren, parkeergarage en parkeervergunningen","Ja","Ja","Ja (€ 322,00 per maand)","Ja","Nee","Ja",NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","Nassaulaan 14 D","28 oktober 2020","28 oktober 2020","0 dagen","Prijs op aanvraag",NA,"Verkocht",NA,"Portiekflat","Bestaande bouw",NA,NA,"70 m²","7 m²",NA,"212 m³","3 kamers (2 slaapkamers)",NA,NA,"1 woonlaag",NA,NA,"E Wat betekent dit?",NA,NA,NA,NA,"Volle eigendom",NA,NA,NA,NA,NA,"Nee","Nee","Nee","Nee","Nee","Nee",NA,"9 m²",NA,NA,NA,NA,NA,NA,NA
"371","Brunestraat 24","31 juli 2020","30 oktober 2020","2½ maand","€ 219.000 kosten koper
Hypotheekadvies","€ 2.380",NA,NA,NA,"Bestaande bouw","1959",NA,NA,NA,NA,"385 m³","8 kamers (3 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,NA,"B Wat betekent dit?","92 m² wonen / 132 m² perceel",NA,NA,NA,NA
"372","Oranjeplein 45 B","30 september 2020","29 oktober 2020","4 weken","€ 325.000 kosten koper
Hypotheekadvies","€ 3.250",NA,NA,"Portiekflat (appartement)","Bestaande bouw","1965",NA,NA,NA,NA,"311 m³","4 kamers (3 slaapkamers)",NA,NA,NA,NA,NA,"E Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100 m² wonen",NA,NA,NA,NA
"373","Keurmeestersdreef 111 d","27 juli 2020","20 augustus 2020","3 weken","€ 150.000 kosten koper","€ 2.027","Verkocht","€ 170,78 per maand","Portiekflat (appartement)","Bestaande bouw","1965","Plat dak","74 m²","4 m²","10 m²","185 m³","5 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","3 woonlagen","3e woonlaag","Buitenzonwering en TV kabel","E Wat betekent dit?","Dakisolatie en dubbel glas","Blokverwarming","Gasboiler (huur)",NA,"Volle eigendom","In woonwijk","Balkon aanwezig","Inpandig",NA,"Openbaar parkeren","Ja","Ja","Nee","Ja","Ja","Ja",NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","Dorpstraat 52 D","19 november 2020","4 december 2020","2 weken","€ 189.000 kosten koper","€ 2.625","Verkocht",NA,"Galerijflat (appartement)","Bestaande bouw","1989","Plat dak bedekt met bitumineuze dakbedekking","72 m²","6 m²","4 m²","226 m³","3 kamers (2 slaapkamers)",NA,NA,"1 woonlaag","2e woonlaag","Natuurlijke ventilatie en TV kabel","C Wat betekent dit?","Dakisolatie, dubbel glas en vloerisolatie","Cv-ketel","Cv-ketel","Intergas (gas gestookt uit 2020, huur)",NA,"In woonwijk","Balkon aanwezig","Inpandig",NA,"Op eigen terrein en openbaar parkeren","Ja","Ja","Ja","Ja","Nee","Ja",NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","Oranjeplein 86 b","6 november 2020","17 november 2020","11 dagen","€ 249.000 kosten koper","€ 2.929","Verkocht","€ 215,00 per maand","Portiekflat (appartement)","Bestaande bouw",NA,NA,"85 m²",NA,NA,"300 m³","4 kamers (3 slaapkamers)","1 apart toilet",NA,"1 woonlaag","2e woonlaag",NA,"E Wat betekent dit?",NA,NA,NA,NA,NA,"Aan rustige weg","Balkon aanwezig","Inpandig","Parkeerplaats",NA,"Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","Woningen Type F (Bouwnr. 1)","17 juli 2020","4 december 2020","4½ maand","€ 420.000 vrij op naam","€ 2.897","Verkocht",NA,NA,"Nieuwbouw","2021",NA,"145 m²",NA,NA,"546 m³","5 kamers (4 slaapkamers)",NA,NA,"3 woonlagen",NA,NA,"A Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,"Parkeerplaats",NA,NA,NA,NA,NA,NA,NA,"Herenhuis, tussenwoning",NA,NA,NA,NA,"Achtertuin en voortuin",NA,NA,NA
"377","Bornedaal 32","13 oktober 2020","9 november 2020","3 weken","€ 400.000 kosten koper","€ 2.857","Verkocht",NA,NA,"Bestaande bouw","1980","Zadeldak bedekt met pannen","140 m²",NA,"21 m²","570 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","2 woonlagen en een kelder",NA,"Elektra en verwarming",NA,"Muurisolatie","Gashaard en heteluchtverwarming","Elektrische boiler",NA,"Volle eigendom","In woonwijk",NA,NA,"Inpandig en parkeerplaats","Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, vrijstaande woning","54 m²","390 m²","C Wat betekent dit?","390 m²","Achtertuin, tuin rondom, voortuin en zijtuin","160 m² (11 meter diep en 14,5 meter breed)","Gelegen op het noorden bereikbaar via achterom","1 auto"
"378","Scharnerweg 86","4 augustus 2020","12 november 2020","3 maanden","€ 530.000 kosten koper
Hypotheekadvies","€ 1.672",NA,NA,NA,"Bestaande bouw",NA,NA,NA,NA,NA,"951 m³","2 kamers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,NA,"Niet beschikbaar","317 m² wonen / 317 m² perceel",NA,NA,NA,NA
"379","Sint Hubertuslaan 17","9 juli 2020","26 oktober 2020","3½ maand","€ 915.000 kosten koper","€ 2.815","Verkocht",NA,NA,"Bestaande bouw","1893","Zadeldak bedekt met pannen","325 m²","25 m²","3 m²","1.692 m³","17 kamers (6 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en douche","3 woonlagen, een vliering en een kelder",NA,"Airconditioning, alarminstallatie, buitenzonwering, rolluiken, rookkanaal, schuifpui en TV kabel","F Wat betekent dit?","Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel, elektrische boiler en elektrische boiler (huur)","Remeha W60eco (gas gestookt combiketel uit 2002, eigendom)","Volle eigendom","Aan park, in centrum en in woonwijk","Dakterras aanwezig","Vrijstaande houten berging",NA,"Betaald parkeren, openbaar parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Herenhuis, tussenwoning","67 m²","304 m²",NA,"304 m²","Achtertuin","165 m² (16,5 meter diep en 10 meter breed)","Gelegen op het zuidoosten",NA
"380","Erasmusdomein 37 D","26 november 2020","7 december 2020","11 dagen","€ 217.500 kosten koper","€ 2.500","Verkocht","€ 110,00 per maand","Portiekflat (appartement)","Bestaande bouw","1989","Plat dak bedekt met bitumineuze dakbedekking","87 m²",NA,"4 m²","259 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","1 woonlaag","4e woonlaag","Elektra",NA,"Geen isolatie","Cv-ketel","Cv-ketel","Remeha (gas gestookt combiketel uit 2013, eigendom)","Mandelig","In woonwijk en vrij uitzicht",NA,"Inpandig","Parkeerplaats","Betaald parkeren, op eigen terrein en parkeervergunningen","Ja","Ja","Ja (€ 110,00 per maand)","Ja","Ja","Ja",NA,NA,NA,"C Wat betekent dit?",NA,NA,NA,NA,NA
"381","Professor Moserstraat 23","26 oktober 2020","10 december 2020","6 weken","€ 229.000 kosten koper","€ 2.726","Verkocht",NA,NA,"Bestaande bouw","1921","Samengesteld dak bedekt met pannen","84 m²",NA,"7 m²","352 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","2 woonlagen, een zolder en een kelder",NA,NA,NA,"Dakisolatie","Cv-ketel","Cv-ketel","Gas gestookt, eigendom","Volle eigendom",NA,NA,"Vrijstaande stenen berging",NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning","10 m²","128 m²","E 2,20 Wat betekent dit?","128 m²","Achtertuin en voortuin",NA,NA,NA
"382","Dopplerdomein 35","5 november 2020","2 december 2020","3 weken","€ 1.125.000 kosten koper","€ 2.409","Verkocht","€ 533,00 per maand","Studentenkamer (appartement)","Bestaande bouw","1989","Plat dak","467 m²",NA,NA,"1.800 m³","10 kamers (10 slaapkamers)",NA,NA,"2 woonlagen",NA,NA,"C Wat betekent dit?",NA,NA,NA,NA,NA,"Aan rustige weg, in centrum en in woonwijk",NA,NA,NA,NA,"Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","President Rooseveltlaan (Bouwnr. 2)","17 juli 2020","7 december 2020","4½ maand","€ 420.000 vrij op naam","€ 2.897","Verkocht",NA,NA,"Nieuwbouw","2021",NA,"145 m²",NA,"6 m²","546 m³","5 kamers (4 slaapkamers)","1 badkamer","Toilet","3 woonlagen",NA,NA,"A Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Openbaar parkeren, parkeergarage en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Herenhuis, tussenwoning","4 m²",NA,NA,NA,"Achtertuin",NA,NA,NA
"384","Brusselseweg 73 D","29 september 2020","14 oktober 2020","2 weken","€ 225.000 kosten koper","€ 2.500","Verkocht","€ 99,00 per maand","Portiekflat (appartement)","Bestaande bouw","1983",NA,"90 m²",NA,NA,"240 m³","4 kamers (3 slaapkamers)","1 badkamer","Ligbad, douche en toilet","2 woonlagen","3e woonlaag",NA,NA,"Dakisolatie, dubbel glas, gedeeltelijk dubbel glas, geen spouw, grotendeels dubbelglas, HR-glas, kierdichting, muurisolatie, vloerisolatie, volledig geïsoleerd en voorzetramen","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2005, eigendom","Volle eigendom",NA,"Dakterras aanwezig",NA,NA,"Op eigen terrein en openbaar parkeren","Ja","Ja","Ja (€ 99,00 per maand)","Ja","Ja","Ja",NA,"4 m²",NA,"C Wat betekent dit?",NA,NA,NA,NA,NA
"385","Oude Maasstraat 100","16 november 2020","3 december 2020","2 weken","€ 422.000 kosten koper","€ 3.149","Verkocht",NA,NA,"Bestaande bouw","1930","Zadeldak bedekt met pannen","134 m²",NA,NA,"380 m³","6 kamers (3 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen",NA,"Rolluiken","G Wat betekent dit?",NA,"Cv-ketel","Cv-ketel","HR ketel (gas gestookt combiketel uit 2014, huur)","Volle eigendom","Aan rustige weg, aan water en in woonwijk",NA,NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, vrijstaande woning","9 m²","940 m²",NA,"940 m²","Achtertuin en voortuin","720 m² (60 meter diep en 12 meter breed)","Gelegen op het noorden bereikbaar via achterom",NA
"386","Fluwijnpad 2, 3620 Lanaken - België","23 juli 2020","9 december 2020","4½ maand","€ 480.000 kosten koper","€ 1.882","Verkocht",NA,NA,"Bestaande bouw","1996","Tentdak bedekt met pannen","255 m²",NA,"4 m²","860 m³","9 kamers (5 slaapkamers)","2 badkamers","Ligbad, 2 douches en 2 toiletten","2 woonlagen",NA,"Elektrische deur, elektra en stromend water",NA,"Dakisolatie, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Vaillant (gas gestookt, eigendom)","Volle eigendom","Aan rustige weg, in woonwijk en open ligging",NA,"Vrijstaande houten berging","Inpandig en parkeerplaats","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Villa, vrijstaande woning","44 m²","1.000 m²","Niet beschikbaar","1.000 m²","Tuin rondom",NA,NA,"2 auto's"
"387","Judeaweg (Bouwnr. 37)","21 oktober 2020","4 december 2020","6 weken","€ 295.000 vrij op naam","€ 2.731","Verkocht",NA,NA,"Nieuwbouw","2021","Zadeldak","108 m²",NA,NA,"415 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen en een zolder",NA,"Mechanische ventilatie en zonnepanelen","A Wat betekent dit?","Volledig geïsoleerd","Warmtepomp","Zonnecollectoren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,"124 m²",NA,"124 m²","Achtertuin en voortuin",NA,NA,NA
"388","Nassaulaan 4 E","5 november 2020","3 december 2020","4 weken","€ 199.000 kosten koper","€ 2.843","Verkocht",NA,"Portiekflat (appartement)","Bestaande bouw","1965","Plat dak bedekt met bitumineuze dakbedekking","70 m²","7 m²","7 m²","230 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","5e woonlaag","Elektra","E Wat betekent dit?","Dubbel glas","Blokverwarming","Elektrische boiler",NA,"Volle eigendom","Aan rustige weg, in woonwijk en open ligging","Balkon aanwezig","Inpandig",NA,"Betaald parkeren, op afgesloten terrein, openbaar parkeren en parkeervergunningen","Ja","Ja","Ja","Ja","Ja","Ja",NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","Schoolstraat 64","30 oktober 2020","23 november 2020","3 weken","€ 235.000 kosten koper","€ 1.958","Verkocht",NA,NA,"Bestaande bouw","1920",NA,"120 m²",NA,"18 m²","380 m³","8 kamers (4 slaapkamers)","1 apart toilet",NA,"2 woonlagen en een zolder",NA,"Elektra","G Wat betekent dit?","Dakisolatie, dubbel glas en voorzetramen","Cv-ketel","Cv-ketel","HR (2012, eigendom)","Volle eigendom",NA,NA,NA,"Vrijstaande stenen garage","Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning","6 m²","140 m²",NA,"140 m²","Achtertuin","1 m² (1 meter diep en 1 meter breed)","Gelegen op het zuidoosten bereikbaar via achterom","1 auto"
"390","Batterijstraat 28","10 september 2020","20 oktober 2020","5 weken","€ 895.000 kosten koper","€ 5.525","Verkocht",NA,NA,"Bestaande bouw","1723","Samengesteld dak","162 m²","191 m²",NA,"3.678 m³","10 kamers (4 slaapkamers)",NA,NA,"4 woonlagen",NA,"Rolluiken en TV kabel",NA,"Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","HR (gas gestookt combiketel, eigendom)","Volle eigendom","Aan rustige weg, beschutte ligging en in centrum",NA,"Inpandig","Inpandig",NA,NA,NA,NA,NA,NA,NA,"Herenhuis, tussenwoning","653 m²","520 m²","Niet beschikbaar","210 m²",NA,NA,NA,"13 auto's"
"391","Paus Johannes XXIII straat 3","12 oktober 2020","2 november 2020","3 weken","€ 375.000 kosten koper","€ 2.273","Verkocht",NA,NA,"Bestaande bouw","2009","Lessenaardak bedekt met bitumineuze dakbedekking","165 m²",NA,"8 m²","527 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","3 woonlagen",NA,"Elektra",NA,"Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Stadsverwarming","Stadsverwarming",NA,"Volle eigendom","Aan rustige weg en in woonwijk",NA,"Vrijstaande stenen berging","Parkeerplaats","Betaald parkeren, op afgesloten terrein en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","15 m²","159 m²","A Wat betekent dit?","159 m²","Achtertuin en voortuin","78 m² (13 meter diep en 6 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom",NA
"392","Sphinxlunet 64 C","20 oktober 2020","5 november 2020","2 weken","€ 314.000 kosten koper","€ 3.413","Verkocht",NA,"Portiekflat (appartement)","Bestaande bouw","1998",NA,"92 m²",NA,NA,"274 m³","3 kamers (2 slaapkamers)","1 badkamer","Ligbad en douche","1 woonlaag","2e woonlaag",NA,"C Wat betekent dit?",NA,NA,NA,NA,"Volle eigendom",NA,NA,NA,NA,NA,"Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","Kremersdreef 6 A","17 november 2020","3 december 2020","2 weken","€ 192.000 kosten koper
Hypotheekadvies","€ 2.743",NA,NA,"Bovenwoning (appartement)","Bestaande bouw","1965",NA,NA,NA,NA,"235 m³","4 kamers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F Wat betekent dit?","70 m² wonen",NA,NA,NA,NA
"394","Apostelenpavé 59","7 december 2019","4 maart 2020","2½ maand","€ 799.000 vrij op naam
Hypotheekadvies","€ 4.439",NA,NA,NA,"Bestaande bouw","2019",NA,NA,NA,NA,"999 m³","4 kamers (2 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Villa, tussenwoning",NA,NA,"Niet beschikbaar","180 m² wonen / 227 m² perceel",NA,NA,NA,NA
"395","Schaliedekkersdreef 106","14 november 2020","1 december 2020","2 weken","€ 229.000 kosten koper","€ 2.160","Verkocht",NA,NA,"Bestaande bouw","1965","Zadeldak bedekt met pannen","106 m²",NA,NA,"315 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen",NA,"Elektrische deur, elektra en stromend water",NA,"Gedeeltelijk dubbel glas","Heteluchtverwarming","Geiser (huur)",NA,"Volle eigendom","In woonwijk",NA,NA,"Inpandig","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, 2-onder-1-kapwoning","27 m²","253 m²","D Wat betekent dit?","253 m²","Achtertuin en voortuin","68 m² (8 meter diep en 8,5 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom","2 auto's"
"396","Heugemerweg 34 C","20 november 2020","28 november 2020","8 dagen","€ 395.000 kosten koper","€ 3.762","Verkocht","€ 335,27 per maand","Galerijflat (appartement)","Bestaande bouw","2003","Plat dak bedekt met bitumineuze dakbedekking","105 m²","12 m²",NA,"313 m³","3 kamers (2 slaapkamers)",NA,NA,"1 woonlaag","2e woonlaag","Airconditioning, lift, mechanische ventilatie, schuifpui en TV kabel",NA,NA,"Stadsverwarming en warmte terugwininstallatie","Stadsverwarming",NA,"Volle eigendom","In centrum en in woonwijk",NA,"Inpandig","Parkeerkelder","Betaald parkeren, parkeergarage en parkeervergunningen","Ja","Ja","Ja (€ 335,27 per maand)","Ja","Ja","Ja",NA,NA,NA,"C 1,41 Wat betekent dit?",NA,"Zonneterras",NA,NA,NA
"397","Minister Talmastraat 16","2 september 2020","2 november 2020","2 maanden","€ 269.000 kosten koper","€ 2.339","Verkocht",NA,NA,"Bestaande bouw","1949","Zadeldak","115 m²","21 m²",NA,"360 m³","5 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten",NA,"2 woonlagen en een zolder",NA,"TV kabel en zonnepanelen",NA,"Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Kombi kompakt (gas gestookt combiketel uit 2014, eigendom)","Volle eigendom","In woonwijk",NA,"Vrijstaande houten berging",NA,"Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","45 m²","163 m²","B Wat betekent dit?","163 m²","Achtertuin en voortuin","72 m² (12 meter diep en 6 meter breed)","Gelegen op het noorden bereikbaar via achterom",NA
"398","Capucijnenstraat 60 B","24 november 2020","3 december 2020","9 dagen","€ 350.000 kosten koper","€ 3.333","Verkocht",NA,"Bovenwoning (appartement)","Bestaande bouw","1920",NA,"105 m²",NA,NA,"330 m³","4 kamers (3 slaapkamers)",NA,NA,"2 woonlagen","3e woonlaag",NA,NA,NA,NA,NA,NA,"Volle eigendom","In centrum",NA,NA,NA,"Op eigen terrein","Nee","Nee","Nee","Nee","Nee","Ja",NA,NA,NA,"C Wat betekent dit?",NA,NA,NA,NA,NA
"399","Scharnerweg 169 B","3 september 2020","23 november 2020","2½ maand","€ 235.000 kosten koper","€ 4.273","Verkocht","€ 45,00 per maand","Portiekflat","Bestaande bouw","1932",NA,"55 m²",NA,NA,"160 m³","2 kamers (1 slaapkamer)",NA,NA,"1 woonlaag","1e woonlaag",NA,"G Wat betekent dit?",NA,NA,NA,NA,"Volle eigendom",NA,NA,NA,NA,NA,"Ja","Nee","Ja (€ 45,00 per maand)","Ja","Nee","Ja",NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","Onder de Kerk 7 F","10 oktober 2020","29 oktober 2020","2 weken","€ 225.000 kosten koper","€ 2.368","Verkocht","€ 113,00 per maand","Bovenwoning","Bestaande bouw","1985","Zadeldak bedekt met pannen","95 m²","6 m²","7 m²","240 m³","6 kamers","1 badkamer","Douche","2 woonlagen","2e woonlaag","Mechanische ventilatie, natuurlijke ventilatie en schuifpui","C Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel","Intergas (gas gestookt combiketel uit 2010, huur)","Volle eigendom","Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht","Dakterras aanwezig","Inpandig",NA,"Openbaar parkeren en parkeervergunningen","Ja","Ja","Ja (€ 113,00 per maand)","Ja","Nee","Ja",NA,"1 m²",NA,NA,NA,NA,NA,NA,NA
"401","Hazendansplein 16","31 oktober 2020","16 november 2020","2 weken","€ 349.000 kosten koper","€ 2.424","Verkocht",NA,NA,"Bestaande bouw","1997","Lessenaardak bedekt met bitumineuze dakbedekking","144 m²","31 m²","6 m²","480 m³","8 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen",NA,"Elektra",NA,"Dakisolatie, dubbel glas, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Cv-ketel","Cv-ketel","Remeha Calenta (gas gestookt combiketel uit 2010, huur)","Volle eigendom","In woonwijk en open ligging","Dakterras aanwezig","Inpandig","Parkeerplaats","Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","10 m²","200 m²","A Wat betekent dit?","200 m²","Achtertuin en voortuin","84 m² (10,5 meter diep en 8 meter breed)","Gelegen op het zuiden",NA
"402","Röntgenstraat 20","16 oktober 2020","12 november 2020","3 weken","€ 389.000 kosten koper","€ 3.890","Verkocht",NA,NA,"Bestaande bouw","1996","Zadeldak bedekt met bitumineuze dakbedekking","100 m²",NA,NA,"415 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen",NA,"Elektrische deur, elektra en stromend water",NA,"Dakisolatie en muurisolatie","Cv-ketel","Cv-ketel","Intergas HR+ Combi (gas gestookt combiketel uit 2011, huur)","Volle eigendom","In woonwijk",NA,NA,"Inpandig","Op eigen terrein, openbaar parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning","23 m²","266 m²","B Wat betekent dit?","266 m²","Achtertuin, voortuin en zijtuin","132 m² (12 meter diep en 11 meter breed)","Gelegen op het zuidoosten bereikbaar via achterom","1 auto"
"403","Burgemeester Cortenstraat 163","18 september 2020","19 oktober 2020","4 weken","€ 349.000 kosten koper","€ 3.292","Verkocht",NA,NA,"Bestaande bouw","1956","Zadeldak bedekt met pannen","106 m²","7 m²",NA,"458 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen, een zolder en een kelder",NA,"Buitenzonwering",NA,"Dubbel glas","Cv-ketel","Cv-ketel","Remeha (gas gestookt combiketel uit 2018, eigendom)","Volle eigendom","In woonwijk",NA,"Vrijstaande stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning","20 m²","220 m²","C Wat betekent dit?","220 m²","Achtertuin en voortuin","85 m² (8,48 meter diep en 10 meter breed)","Gelegen op het westen bereikbaar via achterom",NA
"404","Dauphinélaan 7","10 juli 2020","4 december 2020","4½ maand","€ 565.000 kosten koper","€ 2.989","Verkocht",NA,NA,"Bestaande bouw","1975",NA,"189 m²","21 m²",NA,"643 m³","5 kamers (4 slaapkamers)","2 badkamers en 2 aparte toiletten","Ligbad en 2 douches","2 woonlagen en een kelder",NA,"Rolluiken en schuifpui",NA,"Dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Gas gestookt, eigendom","Volle eigendom",NA,"Balkon aanwezig",NA,"Inpandig","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, 2-onder-1-kapwoning","43 m²","475 m²","C Wat betekent dit?","475 m²","Achtertuin","247 m² (19 meter diep en 13 meter breed)","Gelegen op het zuiden bereikbaar via achterom","1 auto"
"405","Adelbert van Scharnlaan 175 C","11 november 2020","30 november 2020","2 weken","€ 275.000 kosten koper","€ 2.696","Verkocht","€ 184,56 per maand","Portiekflat (appartement)","Bestaande bouw","1994","Plat dak bedekt met bitumineuze dakbedekking","102 m²","4 m²","6 m²","312 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","1 woonlaag","2e woonlaag","Lift, natuurlijke ventilatie en TV kabel","C Wat betekent dit?","HR-glas","Cv-ketel","Cv-ketel","HR-Combiketel Remeha (gas gestookt combiketel uit 2012, eigendom)",NA,"Aan rustige weg en in woonwijk","Balkon aanwezig","Inpandig","Parkeerkelder","Parkeergarage","Ja","Ja","Ja (€ 184,56 per maand)","Ja","Ja","Ja",NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","Mercatorplein 53 D","5 november 2020","26 november 2020","3 weken","€ 165.000 kosten koper","€ 2.500","Verkocht","€ 164,62 per maand","Galerijflat (appartement)","Bestaande bouw","1971",NA,"66 m²","5 m²","8 m²","201 m³","4 kamers (1 slaapkamer)",NA,NA,"1 woonlaag","4e woonlaag","Lift",NA,"Dubbel glas","Blokverwarming","Centrale voorziening",NA,"Volle eigendom","In centrum en in woonwijk",NA,"Inpandig","Niet aanwezig, wel mogelijk","Betaald parkeren en parkeervergunningen","Ja","Ja","Ja (€ 164,62 per maand)","Ja","Ja","Ja",NA,NA,NA,"E 2,02 Wat betekent dit?",NA,NA,NA,NA,NA
