"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Externe bergruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","STRIJP G 1029","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Achtertuin","Ligging tuin","Schuur/berging","Soort parkeergelegenheid","Overige inpandige ruimte","Gebouwgebonden buitenruimte","Soort garage","Capaciteit","Cv-ketel","Specifiek","Servicekosten","Balkon/dakterras","Bijdrage VvE","Soort appartement","Toegankelijkheid"
"719","Il Corsaro 19","31 oktober 2020","7 december 2020","5 weken","€ 350.000 kosten koper","€ 2.536","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1998","Plat dak bedekt met bitumineuze dakbedekking","138 m²","7 m²","148 m²","464 m³","8 kamers (6 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra","A Wat betekent dit?",NA,"Cv-ketel","Cv-ketel",NA,"148 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","58 m² (10,5 meter diep en 5,5 meter breed)","Gelegen op het noordoosten bereikbaar via achterom","Vrijstaande houten berging","Openbaar parkeren",NA,"21 m²",NA,NA,"HR Combi Remeha Calenta Ace (gas gestookt combiketel uit 2018, eigendom)",NA,NA,"Balkon aanwezig",NA,NA,NA
"720","Grasveld 16","1 oktober 2020","3 november 2020","4 weken","€ 275.000 kosten koper","€ 2.477","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2004","Plat dak bedekt met bitumineuze dakbedekking","111 m²","8 m²","65 m²","429 m³","4 kamers (2 slaapkamers)","1 badkamer en 2 aparte toiletten",NA,"3 woonlagen","Elektra",NA,"Volledig geïsoleerd","Stadsverwarming","Stadsverwarming",NA,"65 m²","Volle eigendom","In woonwijk en vrij uitzicht","Patio/atrium en zonneterras",NA,NA,"Inpandig","Openbaar parkeren","10 m²","32 m²",NA,NA,NA,NA,NA,"Dakterras aanwezig en frans balkon aanwezig",NA,NA,NA
"721","Reiskameraad 24","2 oktober 2020","26 oktober 2020","3 weken","€ 310.000 kosten koper","€ 2.743","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1993","Zadeldak","113 m²",NA,"1.191 m²","374 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Glasvezelkabel en mechanische ventilatie","B Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel",NA,"1.046 m²","Mandelig","Aan rustige weg en in woonwijk","Achtertuin en voortuin","68 m² (13 meter diep en 5,25 meter breed)","Gelegen op het noordwesten bereikbaar via achterom",NA,NA,NA,NA,"Carport",NA,"Vaillant HR Pro (gas gestookt combiketel uit 2007, eigendom)",NA,NA,NA,NA,NA,NA
"722","Maasstraat 47","26 juni 2020","21 juli 2020","3 weken","€ 500.000 kosten koper","€ 3.704","Verkocht","Eengezinswoning, vrijstaande woning","Bestaande bouw","1990","Samengesteld dak bedekt met pannen","135 m²",NA,"311 m²","557 m³","4 kamers (3 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en douche","2 woonlagen","Elektra",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel",NA,"311 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,NA,NA,"Op eigen terrein en openbaar parkeren","27 m²",NA,"Aangebouwde stenen garage","1 auto","Vaillant HR Combi (gas gestookt combiketel uit 2015, eigendom)",NA,NA,NA,NA,NA,NA
"723","Edelweisstraat 78","26 november 2020","10 december 2020","14 dagen","€ 190.000 kosten koper","€ 2.754","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1935","Zadeldak bedekt met bitumineuze dakbedekking en pannen","69 m²",NA,"105 m²","292 m³","4 kamers (3 slaapkamers)","1 badkamer","Douche en toilet","3 woonlagen","Dakraam",NA,"Geen isolatie","Moederhaard",NA,NA,"105 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin","60 m² (16,3 meter diep en 4,35 meter breed)","Gelegen op het noordwesten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren","11 m²",NA,NA,NA,NA,"Kluswoning",NA,NA,NA,NA,NA
"724","Gagelstraat 69 a","20 november 2020","7 december 2020","2 weken","€ 425.000 kosten koper","€ 3.728","Verkocht",NA,"Bestaande bouw","2007","Plat dak bedekt met bitumineuze dakbedekking","114 m²","11 m²",NA,"371 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","3 woonlagen","Elektra","A Wat betekent dit?","Volledig geïsoleerd","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","In centrum en in woonwijk",NA,NA,NA,"Inpandig","Betaald parkeren, op afgesloten terrein, op eigen terrein en parkeergarage",NA,"5 m²","Parkeerkelder",NA,"Vaillant (gas gestookt combiketel uit 2019, eigendom)",NA,"€ 122 per maand",NA,NA,"Portiekflat (appartement)",NA
"725","Locatellistraat 24","13 oktober 2020","2 november 2020","2 weken","€ 289.000 kosten koper","€ 2.294","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1945","Zadeldak bedekt met pannen","126 m²","17 m²","155 m²","452 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen en een zolder","Elektra","C Wat betekent dit?","Grotendeels dubbelglas","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel",NA,"155 m²",NA,"Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,NA,"Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,"Nefit (2019, eigendom)","Gestoffeerd",NA,NA,NA,NA,NA
"726","Herman Gorterlaan 125","14 november 2020","7 december 2020","3 weken","€ 150.000 kosten koper","€ 2.143","Verkocht",NA,"Bestaande bouw","1969","Plat dak","70 m²",NA,NA,"228 m³","2 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Douche en toilet","12 woonlagen","Airconditioning en lift","E Wat betekent dit?","Dubbel glas","Blokverwarming","Centrale voorziening",NA,NA,"Volle eigendom","Aan park, aan rustige weg, beschutte ligging, in bosrijke omgeving en open ligging",NA,NA,NA,NA,"Openbaar parkeren",NA,"11 m²",NA,NA,NA,NA,"€ 323 per maand","Balkon aanwezig",NA,"Galerijflat (service flat)",NA
"727","Waterfront 133","3 december 2020","10 december 2020","7 dagen","€ 250.000 kosten koper","€ 2.941","Verkocht",NA,"Bestaande bouw","2008","Plat dak bedekt met bitumineuze dakbedekking","85 m²",NA,NA,"260 m³","2 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Douche","2 woonlagen","Elektra en stromend water","B 1,12 Wat betekent dit?","Dakisolatie, muurisolatie en vloerisolatie","Stadsverwarming","Centrale voorziening",NA,NA,"Volle eigendom","Aan park, aan rustige weg, aan water, beschutte ligging, in woonwijk en vrij uitzicht",NA,NA,NA,"Inpandig","Parkeergarage",NA,NA,"Parkeerkelder",NA,NA,NA,"€ 165 per maand","Frans balkon aanwezig","€ 165,00 per maand","Portiekflat (appartement)",NA
"728","Waterwijk 153","16 oktober 2020","28 oktober 2020","12 dagen","€ 775.000 kosten koper","€ 4.258","Verkocht","Villa, vrijstaande woning","Bestaande bouw","2010","Plat dak bedekt met bitumineuze dakbedekking","182 m²",NA,"515 m²","837 m³","4 kamers (3 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad en 2 toiletten","2 woonlagen","Elektrische deur, elektra, verwarming en stromend water","A Wat betekent dit?","Volledig geïsoleerd","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel",NA,"515 m²","Volle eigendom","Aan park, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin","105 m² (17,5 meter diep en 6 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom",NA,"Op eigen terrein en openbaar parkeren","29 m²","36 m²","Inpandig en parkeerplaats","1 auto","Atag HR (gas gestookt combiketel uit 2010, eigendom)",NA,NA,NA,NA,NA,NA
"729","Versailleslaan 32","9 oktober 2020","27 oktober 2020","2 weken","€ 300.000 kosten koper","€ 3.030","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1979","Zadeldak bedekt met pannen","99 m²",NA,"218 m²","458 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen","Elektra","C Wat betekent dit?","Grotendeels dubbelglas","Cv-ketel","Cv-ketel",NA,"218 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","103 m² (14,5 meter diep en 7,1 meter breed)","Gelegen op het oosten bereikbaar via achterom","Aangebouwde stenen berging","Openbaar parkeren","33 m²",NA,NA,NA,"Remeha Avanta (gas gestookt combiketel uit 2020, eigendom)",NA,NA,NA,NA,NA,NA
"730","Paukenstraat 31","25 september 2020","4 november 2020","5 weken","€ 560.000 kosten koper","€ 3.500","Verkocht","Eengezinswoning, geschakelde woning","Bestaande bouw","2008","Dwarskap bedekt met pannen","160 m²",NA,"224 m²","676 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra","A Wat betekent dit?","Volledig geïsoleerd","Cv-ketel en warmte terugwininstallatie","Cv-ketel",NA,"224 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","109 m² (11,5 meter diep en 9,5 meter breed)","Gelegen op het westen bereikbaar via achterom",NA,"Op eigen terrein en openbaar parkeren","19 m²","1 m²","Aangebouwde stenen garage","1 auto","Intergas (gas gestookt combiketel uit 2008, eigendom)",NA,NA,NA,NA,NA,NA
"731","Lichtstraat 514","11 september 2020","5 december 2020","2½ maand","€ 435.000 kosten koper","€ 3.991","Verkocht",NA,"Bestaande bouw","2003","Plat dak bedekt met bitumineuze dakbedekking","109 m²","3 m²",NA,"335 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","1 woonlaag","Elektra","B Wat betekent dit?","Dakisolatie, HR-glas, muurisolatie en vloerisolatie","Blokverwarming","Centrale voorziening",NA,NA,"Volle eigendom","In centrum en vrij uitzicht",NA,NA,NA,"Inpandig","Betaald parkeren en parkeergarage",NA,"9 m²","Parkeerkelder",NA,NA,NA,NA,"Balkon aanwezig","€ 182,85 per maand","Portiekflat (appartement)",NA
"732","Vasco da Gamalaan 5","14 oktober 2020","18 november 2020","5 weken","€ 400.000 kosten koper","€ 3.306","Verkocht","Bungalow, tussenwoning (patiowoning)","Bestaande bouw","2000","Lessenaardak","121 m²",NA,"194 m²","502 m³","6 kamers (3 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, 2 douches en toilet","2 woonlagen","Elektrische deur en elektra",NA,"Volledig geïsoleerd","Cv-ketel","Cv-ketel",NA,"194 m²","Volle eigendom","Aan rustige weg en in woonwijk","Patio/atrium",NA,"Gelegen op het noorden",NA,"Op eigen terrein","17 m²","2 m²","Inpandig","1 auto","Gas gestookt combiketel uit 2005, eigendom",NA,NA,NA,NA,NA,"Toegankelijk voor ouderen"
"733","Aroldo 20","9 oktober 2020","9 november 2020","4 weken","€ 460.000 kosten koper","€ 2.289","Verkocht","Eengezinswoning, geschakelde woning","Bestaande bouw","2003","Plat dak bedekt met bitumineuze dakbedekking","201 m²",NA,"100 m²","784 m³","6 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad, douche en toilet","4 woonlagen","Elektra",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel",NA,"100 m²","Volle eigendom","In woonwijk","Zonneterras",NA,"Gelegen op het zuidwesten","Inpandig","Op eigen terrein en openbaar parkeren","9 m²","54 m²","Carport",NA,"Nefit HR combi (gas gestookt combiketel uit 2017, eigendom)",NA,NA,"Dakterras aanwezig en balkon aanwezig",NA,NA,NA
"734","Zeelsterstraat 195","18 augustus 2020","7 december 2020","3½ maand","€ 300.000 kosten koper","€ 3.226","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1928",NA,"93 m²","37 m²","220 m²","420 m³","4 kamers (3 slaapkamers)",NA,NA,"2 woonlagen en een vliering",NA,NA,NA,NA,NA,NA,"220 m²","Volle eigendom",NA,"Achtertuin","159 m² (24,5 meter diep en 6,5 meter breed)","Gelegen op het zuiden bereikbaar via achterom",NA,NA,"18 m²","1 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA
"735","Waterfront 379","8 oktober 2020","27 oktober 2020","2 weken","€ 598.000 kosten koper","€ 2.731","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2019","Zadeldak bedekt met pannen","219 m²","5 m²","90 m²","760 m³","6 kamers (3 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en douche","4 woonlagen","Buitenzonwering","A Wat betekent dit?","Volledig geïsoleerd","Gashaard, stadsverwarming en gehele vloerverwarming","Stadsverwarming",NA,"90 m²","Volle eigendom","Aan water, in woonwijk en vrij uitzicht","Voortuin en zonneterras",NA,NA,"Aangebouwde stenen berging","Openbaar parkeren","3 m²","42 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA
"736","Normandielaan 134","13 oktober 2020","30 oktober 2020","2 weken","€ 275.000 kosten koper","€ 2.455","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1979","Samengesteld dak bedekt met bitumineuze dakbedekking en pannen","112 m²",NA,"238 m²","400 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen","Elektra en stromend water","C Wat betekent dit?","Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel",NA,"238 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","85 m² (9,6 meter diep en 8,9 meter breed)","Gelegen op het noordwesten bereikbaar via achterom","Inpandig","Op eigen terrein en openbaar parkeren",NA,"23 m²",NA,NA,"Vaillant (gas gestookt combiketel uit 2015, eigendom)",NA,NA,NA,NA,NA,NA
"737","Lisven 45","30 september 2020","29 oktober 2020","4 weken","€ 540.000 kosten koper","€ 3.396","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1992","Samengesteld dak bedekt met bitumineuze dakbedekking en pannen","159 m²",NA,"282 m²","647 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen","Elektrische deur, elektra en stromend water","A Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel",NA,"282 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin, voortuin en zonneterras","103 m² (13,7 meter diep en 7,5 meter breed)","Gelegen op het oosten","Aangebouwde stenen berging","Op eigen terrein en openbaar parkeren","25 m²","18 m²","Aangebouwde stenen garage","1 auto","2016, eigendom",NA,NA,NA,NA,NA,NA
"738","Anna van Engelandstraat 5","23 september 2020","12 oktober 2020","2 weken","€ 489.500 kosten koper","€ 3.737","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1934","Zadeldak bedekt met pannen","131 m²","6 m²","154 m²","500 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen en een vliering","Elektra","C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel en houtkachel","Cv-ketel",NA,"154 m²","Volle eigendom","Aan park, in centrum, in woonwijk en vrij uitzicht","Achtertuin en voortuin","66 m² (12 meter diep en 5,5 meter breed)","Gelegen op het oosten bereikbaar via achterom","Vrijstaande houten berging","Betaald parkeren, openbaar parkeren en parkeervergunningen","7 m²","13 m²",NA,NA,"Vaillant HR (gas gestookt combiketel uit 2012, eigendom)",NA,NA,"Dakterras aanwezig",NA,NA,NA
"739","Simon van Leeuwenstraat 8","13 november 2020","27 november 2020","14 dagen","€ 225.000 kosten koper","€ 3.261","Verkocht",NA,"Bestaande bouw","1959","Zadeldak bedekt met pannen","69 m²","14 m²",NA,"228 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","4 woonlagen",NA,"D Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","Aan park, aan rustige weg en in woonwijk",NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"10 m²",NA,NA,"Remeha HR (gas gestookt combiketel, eigendom)",NA,NA,"Balkon aanwezig","€ 131,00 per maand","Portiekflat (appartement)",NA
"740","Anton Philipslaan 195","6 november 2020","16 november 2020","10 dagen","€ 415.000 kosten koper","€ 4.415","Verkocht",NA,"Bestaande bouw","2012","Plat dak bedekt met bitumineuze dakbedekking","94 m²","16 m²",NA,"265 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","5 woonlagen","Elektra","A Wat betekent dit?","Volledig geïsoleerd","Warmtepomp","Centrale voorziening",NA,NA,"Volle eigendom","In centrum en vrij uitzicht",NA,NA,NA,"Inpandig","Parkeervergunningen",NA,"15 m²","Parkeerkelder",NA,NA,NA,NA,"Balkon aanwezig","€ 266,35 per maand","Portiekflat (appartement)",NA
"741","Ranonkelstraat 41 01","5 juni 2020","4 december 2020","5½ maand","€ 165.000 kosten koper","€ 3.367","Verkocht",NA,"Bestaande bouw","1985","Zadeldak","49 m²",NA,NA,"220 m³","2 kamers (1 slaapkamer)","1 badkamer","Douche","2 woonlagen","Dakraam, natuurlijke ventilatie en TV kabel",NA,"Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel",NA,NA,"Eigendom belast met erfpacht (einddatum erfpacht: 06-08-2040)","Aan park, aan rustige weg en in woonwijk",NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"6 m²",NA,NA,"Remeha avanta (gas gestookt combiketel uit 2010, eigendom)",NA,NA,NA,"€ 60,00 per maand","Bovenwoning",NA
"742","Bokrijkstraat 11","14 oktober 2020","30 oktober 2020","2 weken","€ 325.000 kosten koper","€ 2.273","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1978","Samengesteld dak bedekt met bitumineuze dakbedekking en pannen","143 m²","22 m²","247 m²","497 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Elektra","C Wat betekent dit?","Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel",NA,"247 m²","Volle eigendom","Aan park, aan rustige weg en in woonwijk","Achtertuin, voortuin en zijtuin","62 m² (9,6 meter diep en 6,45 meter breed)","Gelegen op het zuiden bereikbaar via achterom","Aangebouwde stenen berging","Openbaar parkeren","4 m²","38 m²","Aangebouwde stenen garage","1 auto","Gas gestookt combiketel, eigendom",NA,NA,NA,NA,NA,NA
"743","Landheer 12","17 oktober 2020","5 november 2020","2 weken","€ 350.000 kosten koper","€ 3.571","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","2017","Plat dak bedekt met bitumineuze dakbedekking","98 m²","8 m²","133 m²","367 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen","Elektra","A Wat betekent dit?","Geen isolatie","Stadsverwarming","Stadsverwarming",NA,"133 m²","Volle eigendom","Aan rustige weg, in woonwijk en open ligging","Achtertuin","47 m² (6,32 meter diep en 9,05 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom","Vrijstaande houten berging","Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"744","St Jansweg 23","2 oktober 2020","29 oktober 2020","3 weken","€ 450.000 kosten koper","€ 3.659","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1950",NA,"123 m²",NA,"130 m²","495 m³","5 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten","Toilet","2 woonlagen en een kelder",NA,NA,NA,"Cv-ketel","Cv-ketel",NA,"130 m²","Volle eigendom",NA,"Achtertuin en voortuin","55 m² (10 meter diep en 5,5 meter breed)","Gelegen op het zuidoosten bereikbaar via achterom",NA,"Openbaar parkeren","15 m²","5 m²",NA,NA,"Combiketel, eigendom",NA,NA,NA,NA,NA,NA
"745","Waterland 186","10 november 2020","30 november 2020","2 weken","€ 479.000 kosten koper","€ 3.802","Verkocht","Bungalow, 2-onder-1-kapwoning","Bestaande bouw","2017","Plat dak bedekt met bitumineuze dakbedekking","126 m²",NA,"239 m²","505 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet",NA,"1 woonlaag","Balansventilatie, buitenzonwering, glasvezelkabel, schuifpui en zonnepanelen","A Wat betekent dit?","Volledig geïsoleerd","Cv-ketel","Cv-ketel",NA,"239 m²","Volle eigendom","Aan rustige weg en in woonwijk","Patio/atrium",NA,"Gelegen op het noordwesten bereikbaar via achterom","Inpandig","Openbaar parkeren",NA,"32 m²","Carport en garage mogelijk",NA,"HR ATAG (gas gestookt uit 2017, eigendom)",NA,NA,NA,NA,NA,NA
"746","Lorrainelaan 12","9 oktober 2020","26 oktober 2020","2 weken","€ 339.000 kosten koper","€ 2.608","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1981","Zadeldak bedekt met pannen","130 m²","20 m²","155 m²","420 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra","C Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel",NA,"155 m²","Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin en voortuin","47 m² (7,85 meter diep en 6 meter breed)","Gelegen op het zuidoosten bereikbaar via achterom",NA,"Openbaar parkeren",NA,NA,"Vrijstaande stenen garage","1 auto","AWB (gas gestookt combiketel uit 2004, eigendom)",NA,NA,NA,NA,NA,NA
"747","Jan Romeinstraat 36","6 oktober 2020","22 oktober 2020","2 weken","€ 400.000 kosten koper","€ 2.837","Verkocht","Eengezinswoning, geschakelde woning (patiowoning)","Bestaande bouw","2006","Plat dak bedekt met bitumineuze dakbedekking","141 m²",NA,"203 m²","576 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen","Glasvezelkabel, mechanische ventilatie, schuifpui, TV kabel en zonnepanelen","A Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel",NA,"203 m²","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk","Patio/atrium en zonneterras",NA,"Gelegen op het zuidwesten",NA,"Op eigen terrein en openbaar parkeren","6 m²","11 m²","Parkeerplaats",NA,"Nefit HR (gas gestookt combiketel uit 2006, eigendom)",NA,NA,"Dakterras aanwezig",NA,NA,NA
