"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Overige inpandige ruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Voortuin","Ligging tuin","Soort garage","Capaciteit","Soort parkeergelegenheid","Soort appartement","Gebouwgebonden buitenruimte","Externe bergruimte","Balkon/dakterras","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Schuur/berging","Bijdrage VvE","Gelegen op","Voorlopig energielabel","Bouwperiode","Achtertuin"
"38","van Wageningenstraat 45","21 januari 2021","1 februari 2021","11 dagen","€ 199.000 kosten koper","€ 1.990","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1981","Zadeldak bedekt met pannen","100 m²","11 m²","122 m²","385 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra","B Wat betekent dit?","Dakisolatie, gedeeltelijk dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Atag E264C (gas gestookt combiketel uit 2014, eigendom)","122 m²","Volle eigendom","In woonwijk","Achtertuin",NA,"Gelegen op het oosten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,"45 m² (9 meter diep en 5 meter breed)"
"39","Aggemastate 2","26 februari 2021","3 maart 2021","5 dagen","€ 135.000 kosten koper","€ 2.368","Verkocht",NA,"Bestaande bouw","1981","Plat dak bedekt met bitumineuze dakbedekking","57 m²",NA,NA,"175 m³","2 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Elektra",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Stadsverwarming","Elektrische boiler",NA,NA,"Volle eigendom","In woonwijk","Achtertuin",NA,"Gelegen op het zuidwesten",NA,NA,"Openbaar parkeren","Benedenwoning (appartement)",NA,"6 m²",NA,"Nee","Nee","Nee","Nee","Nee","Nee","Vrijstaande stenen berging",NA,"Begane grond","C Wat betekent dit?",NA,"20 m² (4,5 meter diep en 4,5 meter breed)"
"40","Mendelssohnstraat 39","8 februari 2021","23 februari 2021","2 weken","€ 179.500 kosten koper","€ 2.459","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1935","Zadeldak bedekt met pannen","73 m²","4 m²","108 m²","282 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","2 woonlagen, een vliering en een kelder","Buitenzonwering, dakraam, glasvezelkabel, natuurlijke ventilatie, rookkanaal en TV kabel","D Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel en houtkachel","Cv-ketel","Nefit Proline (gas gestookt combiketel uit 2017, eigendom)","108 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"9 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39 m² (8,7 meter diep en 3,23 meter breed)"
"41","de Fennen 318","11 februari 2021","25 februari 2021","14 dagen","€ 199.000 kosten koper","€ 1.508","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1971","Plat dak bedekt met bitumineuze dakbedekking","132 m²",NA,"147 m²","479 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen","Elektra, verwarming en stromend water","D Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel","Nefit (gas gestookt combiketel uit 2017, eigendom)","147 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin",NA,"Gelegen op het zuidwesten",NA,NA,"Openbaar parkeren",NA,"3 m²",NA,NA,NA,NA,NA,NA,NA,NA,"Inpandig",NA,NA,NA,NA,"72 m² (13 meter diep en 5,5 meter breed)"
"42","Leeuwerikstraat 194","17 januari 2021","22 januari 2021","5 dagen","€ 210.000 kosten koper","€ 2.414","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1953","Zadeldak bedekt met pannen","87 m²","24 m²","217 m²","390 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Elektrische deur en elektra",NA,"Dakisolatie en gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2008, eigendom","217 m²","Volle eigendom","Beschutte ligging en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het noordwesten bereikbaar via achterom","Vrijstaande stenen garage","1 auto","Op eigen terrein",NA,NA,"24 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,"F Wat betekent dit?",NA,"75 m² (10 meter diep en 7,5 meter breed)"
"43","Marnixstraat 11","20 november 2020","7 januari 2021","6 weken","€ 250.000 kosten koper","€ 2.137","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1937","Zadeldak bedekt met pannen","117 m²","11 m²","122 m²","422 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","3 woonlagen","Elektra",NA,"Dubbel glas en vloerisolatie","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2015, eigendom","122 m²","Volle eigendom","Beschutte ligging en in woonwijk","Achtertuin",NA,"Gelegen op het zuiden bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,"7 m²",NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,"F Wat betekent dit?",NA,"27 m² (9 meter diep en 3 meter breed)"
"44","Achter de Hoven 40 C","18 februari 2021","5 maart 2021","2 weken","€ 142.500 kosten koper","€ 2.850","Verkocht",NA,"Bestaande bouw","2007","Plat dak","50 m²",NA,NA,"168 m³","2 kamers (1 slaapkamer)","1 badkamer","Douche en toilet","7 woonlagen","Glasvezelkabel, mechanische ventilatie en TV kabel","A Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Cv-ketel","Cv-ketel","Intergas (gas gestookt combiketel uit 2007, eigendom)",NA,"Volle eigendom",NA,NA,NA,NA,NA,NA,NA,"Galerijflat (appartement)",NA,NA,"Frans balkon aanwezig","Ja","Ja","Ja (€ 67,08 per maand)","Ja","Ja","Ja",NA,"€ 67,08 per maand","4e woonlaag",NA,NA,NA
"45","Suder Stienplaat 121","29 januari 2021","18 februari 2021","2 weken","€ 474.500 kosten koper","€ 2.966","Verkocht","Eengezinswoning, vrijstaande woning","Bestaande bouw","2006",NA,"160 m²","18 m²","423 m²","650 m³","6 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en douche","3 woonlagen",NA,"A Wat betekent dit?","Volledig geïsoleerd","Cv-ketel",NA,"Combiketel uit 2019, huur","53 m²","Volle eigendom","In woonwijk, open ligging en vrij uitzicht","Achtertuin en voortuin",NA,"Gelegen op het zuiden bereikbaar via achterom",NA,NA,NA,NA,"24 m²",NA,"Dakterras aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"188 m² (15 meter diep en 12,5 meter breed)"
"46","Robinsonstraat 103","15 februari 2021","2 maart 2021","2 weken","€ 179.500 kosten koper","€ 1.381","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1973","Plat dak bedekt met bitumineuze dakbedekking","130 m²",NA,"162 m²","460 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen","Buitenzonwering, glasvezelkabel, mechanische ventilatie, schuifpui en TV kabel",NA,"Dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Vaillant (gas gestookt combiketel uit 2014, eigendom)","162 m²","Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin",NA,"Gelegen op het westen bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,"10 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,"F Wat betekent dit?",NA,"73 m² (14,5 meter diep en 5 meter breed)"
"47","Franekerstraat 15","18 december 2020","2 februari 2021","6 weken","€ 190.000 kosten koper","€ 1.919","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930","Dwarskap bedekt met pannen","99 m²","7 m²","111 m²","384 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra","E Wat betekent dit?","Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","2010, eigendom","111 m²","Volle eigendom","Beschutte ligging en in woonwijk","Achtertuin en voortuin",NA,NA,NA,NA,"Openbaar parkeren",NA,"11 m²",NA,"Dakterras aanwezig",NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,NA
"48","Romkeslaan 50","7 december 2020","5 maart 2021","2½ maand","€ 262.500 kosten koper","€ 2.853","Verkocht",NA,"Bestaande bouw","1998",NA,"92 m²",NA,NA,"270 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","1 woonlaag",NA,"B Wat betekent dit?",NA,NA,NA,NA,NA,"Volle eigendom",NA,NA,NA,NA,NA,NA,NA,"Galerijflat","7 m²","5 m²","Balkon aanwezig","Ja","Ja","Ja","Ja","Ja","Ja",NA,NA,NA,NA,NA,NA
"49","Groningerstraatweg 235","22 december 2020","21 december 2020",NA,"€ 259.000 kosten koper
Hypotheekadvies","€ 2.233","Verkocht","Eengezinswoning, vrijstaande woning","Bestaande bouw","1935","Zadeldak bedekt met pannen","116 m²",NA,"268 m²","433 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen",NA,NA,"Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2007, eigendom","65 m²","Volle eigendom",NA,"Achtertuin",NA,"Gelegen op het noordwesten bereikbaar via achterom","Carport",NA,NA,NA,NA,"8 m²",NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,"G Wat betekent dit?",NA,"85 m² (17 meter diep en 5 meter breed)"
"50","Rixtwei 54","29 december 2020","8 januari 2021","10 dagen","€ 245.000 kosten koper","€ 1.976","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw",NA,"Zadeldak","124 m²",NA,"180 m²","430 m³","5 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en toilet","2 woonlagen en een zolder","Elektra","C Wat betekent dit?","Dakisolatie, dubbel glas en HR-glas","Cv-ketel","Cv-ketel","Vailliant (gas gestookt combiketel uit 2016, eigendom)","180 m²","Volle eigendom","Beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",NA,"Gelegen op het noordwesten bereikbaar via achterom",NA,NA,NA,NA,"4 m²","8 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,NA,"1971-1980","75 m² (10 meter diep en 7,5 meter breed)"
"51","Emmakade 109","8 december 2020","30 januari 2021","7 weken","€ 445.000 kosten koper","€ 2.247","Verkocht","Herenhuis, tussenwoning","Bestaande bouw","1910","Samengesteld dak bedekt met bitumineuze dakbedekking en pannen","198 m²",NA,"146 m²","786 m³","7 kamers (4 slaapkamers)",NA,NA,"1 woonlaag",NA,"D Wat betekent dit?","Dakisolatie, grotendeels dubbelglas en vloerisolatie","Cv-ketel","Cv-ketel","ATAG (gas gestookt combiketel uit 2015, eigendom)","146 m²","Volle eigendom","Aan rustige weg en vrij uitzicht","Achtertuin en voortuin",NA,NA,NA,NA,"Parkeervergunningen",NA,"2 m²","3 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Europaplein 28 a","3 juli 2020","29 januari 2021","6½ maand","€ 299.000 kosten koper","€ 2.451","Verkocht",NA,"Bestaande bouw","1969","Plat dak bedekt met bitumineuze dakbedekking","122 m²",NA,NA,"378 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet",NA,"2 woonlagen","Buitenzonwering, glasvezelkabel, lift en mechanische ventilatie","C Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Atag (gas gestookt combiketel uit 2012, eigendom)",NA,"Gemeentelijke erfpacht","Aan drukke weg",NA,NA,NA,"Garagebox","1 auto",NA,"Portiekflat (appartement)","17 m²","14 m²","Dakterras aanwezig","Ja","Ja","Ja (€ 125,00 per maand)","Ja","Ja","Ja","Inpandig","€ 125,00 per maand","2e woonlaag",NA,NA,NA
"53","Eksterstraat 10","31 december 2020","17 januari 2021","2 weken","€ 179.500 kosten koper","€ 2.189","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1930","Zadeldak bedekt met pannen","82 m²","5 m²","127 m²","311 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen en een zolder","TV kabel","F Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel","HR-ketel (gas gestookt combiketel uit 2019, eigendom)","127 m²","Volle eigendom","In woonwijk","Achtertuin",NA,"Gelegen op het noorden bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"1 m²","8 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,NA,NA,"14 meter diep en 5 meter breed"
"54","Grote Hoogstraat 37","3 februari 2021","4 maart 2021","4 weken","€ 231.000 kosten koper","€ 2.817","Verkocht","Eengezinswoning, vrijstaande woning","Bestaande bouw","1900","Zadeldak bedekt met pannen","82 m²","9 m²","87 m²","415 m³","2 kamers (1 slaapkamer)","1 badkamer","Douche en toilet","2 woonlagen en een vliering","Elektra en verwarming","E Wat betekent dit?","Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","AWB (gas gestookt combiketel uit 2005, eigendom)","87 m²","Volle eigendom","In centrum","Achtertuin",NA,"Gelegen op het westen",NA,NA,"Betaald parkeren",NA,"8 m²",NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,"Inpandig",NA,NA,NA,NA,"23 m² (4,5 meter diep en 5 meter breed)"
"55","Vermeerstraat 17","16 januari 2021","26 januari 2021","10 dagen","€ 169.500 kosten koper","€ 2.457","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1935","Zadeldak bedekt met bitumineuze dakbedekking en pannen","69 m²","19 m²","118 m²","319 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen en een zolder","Elektra","E Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2015, eigendom","118 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"1 m²",NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,NA,NA,"33 m² (13 meter diep en 2,5 meter breed)"
"56","Marnixstraat 25","5 februari 2021","2 maart 2021","3 weken","€ 269.000 kosten koper
Hypotheekadvies","€ 2.360","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1935",NA,"114 m²","4 m²","121 m²","415 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra, verwarming en stromend water",NA,"Dakisolatie, dubbel glas en HR-glas","Cv-ketel","Cv-ketel","Atag HR (warmtepomp ready) (gas gestookt combiketel uit 2021, eigendom)","121 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuiden bereikbaar via achterom",NA,NA,"Parkeervergunningen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,"F Wat betekent dit?",NA,"40 m² (10 meter diep en 4 meter breed)"
"57","Gabriël Metsustraat 16","10 februari 2021","28 februari 2021","2 weken","€ 179.000 kosten koper","€ 1.989","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1935","Zadeldak bedekt met pannen","90 m²","4 m²","121 m²","318 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen",NA,"F Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel",NA,"121 m²","Volle eigendom","Beschutte ligging en in woonwijk","Achtertuin en voortuin",NA,NA,NA,NA,"Openbaar parkeren",NA,"1 m²","8 m²",NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,NA,NA,NA
"58","Röntgenstraat 5","13 november 2020","15 februari 2021","3 maanden","€ 197.500 kosten koper","€ 2.219",NA,"Eengezinswoning, tussenwoning","Bestaande bouw","1955",NA,NA,NA,NA,"330 m³","5 kamers (3 slaapkamers)",NA,NA,NA,NA,"E Wat betekent dit?",NA,NA,NA,NA,"89 m² wonen / 120 m² perceel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Idzerdastins 94","11 februari 2021","1 maart 2021","2 weken","€ 375.000 kosten koper","€ 2.604","Verkocht","Herenhuis, 2-onder-1-kapwoning","Bestaande bouw","1992","Schilddak bedekt met pannen","144 m²","25 m²","257 m²","607 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen","Elektra","B Wat betekent dit?","Dakisolatie","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel","Intergas HRE combiketel (gas gestookt combiketel uit 2010)","257 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin, voortuin en zonneterras",NA,"Gelegen op het westen bereikbaar via achterom","Aangebouwde stenen garage","1 auto","Openbaar parkeren",NA,"25 m²",NA,"Dakterras aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"95 m² (10 meter diep en 9,5 meter breed)"
"60","Dr. Bearda Bakkerstraat 80","5 februari 2021","18 februari 2021","13 dagen","€ 275.000 kosten koper","€ 2.068","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2008","Plat dak bedekt met bitumineuze dakbedekking","133 m²",NA,"188 m²","465 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen","Glasvezelkabel, natuurlijke ventilatie en TV kabel","A Wat betekent dit?","Volledig geïsoleerd","Cv-ketel","Cv-ketel","HR (gas gestookt combiketel uit 2008, eigendom)","188 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin",NA,"Gelegen op het zuiden",NA,NA,"Op eigen terrein",NA,"21 m²","6 m²","Dakterras aanwezig",NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,NA,NA,"79 m² (15 meter diep en 5,25 meter breed)"
"61","Ytsjesân 3","14 januari 2021","12 februari 2021","4 weken","€ 375.000 kosten koper","€ 2.641","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","2007","Dwarskap bedekt met pannen","142 m²","26 m²","277 m²","604 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Elektrische deur en elektra","A Wat betekent dit?","Volledig geïsoleerd","Cv-ketel, muurverwarming, gedeeltelijke vloerverwarming en warmte terugwininstallatie","Cv-ketel, zonneboiler en zonnecollectoren","Intergas HR-combiketel (gas gestookt combiketel uit 2007, eigendom)","277 m²","Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht","Tuin rondom en zonneterras",NA,NA,"Aangebouwde stenen garage","1 auto","Openbaar parkeren",NA,"2 m²",NA,NA,NA,NA,NA,NA,NA,NA,"Inpandig",NA,NA,NA,NA,NA
"62","Goudenregenstraat 51","5 maart 2021","5 maart 2021","0 dagen","Prijs op aanvraag",NA,NA,"Eengezinswoning, tussenwoning","Bestaande bouw","1951",NA,NA,NA,NA,"408 m³","1 kamer",NA,NA,NA,NA,"G Wat betekent dit?",NA,NA,NA,NA,"90 m² wonen / 179 m² perceel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","de Hooidollen 61 BCDEFGH","4 maart 2021","4 maart 2021","0 dagen","€ 120.000 kosten koper",NA,"Verkocht",NA,NA,NA,NA,NA,NA,"148 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Garage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Liobastraat 15","15 januari 2021","12 februari 2021","4 weken","€ 595.000 kosten koper","€ 3.099","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","2009","Samengesteld dak bedekt met pannen","192 m²","6 m²","410 m²","642 m³","7 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Balansventilatie en TV kabel","A Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel","Intergas HR (gas gestookt uit 2009, eigendom)","410 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin",NA,"Gelegen op het zuidwesten","Vrijstaande houten garage","1 auto","Op eigen terrein en openbaar parkeren",NA,NA,"23 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"240 m² (24 meter diep en 10 meter breed)"
"65","Eewal 70","16 december 2020","30 december 2020","14 dagen","€ 300.000 kosten koper","€ 2.655","Verkocht","Herenhuis, eindwoning","Bestaande bouw","1650","Mansarde dak bedekt met bitumineuze dakbedekking en pannen","113 m²",NA,"60 m²","384 m³","4 kamers (2 slaapkamers)","1 badkamer en 2 aparte toiletten","Douche en toilet","3 woonlagen","Dakraam, rookkanaal en TV kabel","C Wat betekent dit?","Dakisolatie, gedeeltelijk dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Remeha (gas gestookt combiketel uit 2000, eigendom)","60 m²","Volle eigendom","Aan rustige weg en in centrum",NA,NA,NA,NA,NA,"Parkeervergunningen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Taco van der Veenplein 93","22 januari 2021","6 februari 2021","2 weken","€ 350.000 kosten koper","€ 3.271","Verkocht",NA,"Bestaande bouw","2007","Plat dak bedekt met bitumineuze dakbedekking","107 m²",NA,NA,"360 m³","4 kamers (2 slaapkamers)","1 apart toilet",NA,"15 woonlagen","Elektra","A Wat betekent dit?","Volledig geïsoleerd","Cv-ketel en gehele vloerverwarming","Cv-ketel","AGPO (gas gestookt combiketel uit 2007, eigendom)",NA,"Volle eigendom","Aan vaarwater, aan water en vrij uitzicht","Zonneterras",NA,"Gelegen op het zuiden",NA,NA,"Op eigen terrein","Portiekflat (appartement)","10 m²","6 m²","Balkon aanwezig","Ja","Ja","Ja (€ 150,73 per maand)","Ja","Ja","Ja","Inpandig","€ 150,73 per maand","14e woonlaag",NA,NA,NA
"67","Spoorstraat 124","7 januari 2021","1 februari 2021","3 weken","€ 225.000 kosten koper
Hypotheekadvies","€ 2.123","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1910","Plat dak bedekt met bitumineuze dakbedekking","106 m²","11 m²","157 m²","431 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen","Elektra en verwarming",NA,"Dubbel glas","Cv-ketel","Cv-ketel","Gas gestookt combiketel, huur","157 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuiden bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"11 m²",NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,"G Wat betekent dit?",NA,"66 m² (11 meter diep en 6 meter breed)"
"68","Kelders 23","27 januari 2021","25 februari 2021","4 weken","€ 265.000 kosten koper","€ 2.477","Verkocht","Grachtenpand, tussenwoning","Bestaande bouw","1900","Zadeldak","107 m²","27 m²","95 m²","436 m³","4 kamers (3 slaapkamers)",NA,NA,"4 woonlagen",NA,"Niet beschikbaar","Gedeeltelijk dubbel glas en voorzetramen","Cv-ketel","Cv-ketel","2015","95 m²","Volle eigendom","In centrum",NA,NA,NA,NA,NA,NA,NA,"5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Scheltemastate 11","22 januari 2021","8 februari 2021","2 weken","€ 249.500 kosten koper","€ 2.422","Verkocht","Eengezinswoning, geschakelde 2-onder-1-kapwoning","Bestaande bouw","1981",NA,"103 m²","20 m²","493 m²","468 m³","5 kamers (3 slaapkamers)","2 aparte toiletten",NA,"3 woonlagen",NA,NA,NA,NA,NA,NA,"27 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het westen bereikbaar via achterom","Aangebouwde stenen garage en parkeerplaats","1 auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C Wat betekent dit?",NA,"253 m² (23 meter diep en 11 meter breed)"
